<1,+1.0>
<+2.0,+1.41421356237309504880168872420969807856967187537694807317667973799073247846210703>
<+3.0,+1.73205080756887729352744634150587236694280525381038062805580697945193301690880003>
<+4.0,+2.0>
<+5.0,+2.23606797749978969640917366873127623544061835961152572427089724541052092563780489>
<+6.0,+2.44948974278317809819728407470589139196594748065667012843269256725096037745731502>
<+7.0,+2.64575131106459059050161575363926042571025918308245018036833445920106882323028362>
<+8.0,+2.82842712474619009760337744841939615713934375075389614635335947598146495692421407>
<+9.0,+3.0>
<+10.0,+3.16227766016837933199889354443271853371955513932521682685750485279259443863923822>
<+11.0,+3.31662479035539984911493273667068668392708854558935359705868214611648464260904384>
<+12.0,+3.46410161513775458705489268301174473388561050762076125611161395890386603381760007>
<+13.0,+3.60555127546398929311922126747049594625129657384524621271045305622716694829301044>
<+14.0,+3.74165738677394138558374873231654930175601980777872694630374546732003515630693902>
<+15.0,+3.87298334620741688517926539978239961083292170529159082658757376611348309193697903>
<+16.0,+4.0>
<+17.0,+4.12310562561766054982140985597407702514719922537362043439863357309495434633762159>
<+18.0,+4.24264068711928514640506617262909423570901562613084421953003921397219743538632111>
<+19.0,+4.35889894354067355223698198385961565913700392523244493689034413815955732820315808>
<+20.0,+4.47213595499957939281834733746255247088123671922305144854179449082104185127560979>
<+21.0,+4.58257569495584000658804719372800848898445657676797190260724212390686842554777088>
<+22.0,+4.69041575982342955456563011354446628058822835341173715360570189101702463275323972>
<+23.0,+4.79583152331271954159743806416269391999670704190412934648530911444825723590746408>
<+24.0,+4.89897948556635619639456814941178278393189496131334025686538513450192075491463005>
<+25.0,+5.0>
<+26.0,+5.09901951359278483002822410902278198956377094609959640758497080442593363206222419>
<+27.0,+5.19615242270663188058233902451761710082841576143114188416742093835579905072640011>
<+28.0,+5.29150262212918118100323150727852085142051836616490036073666891840213764646056725>
<+29.0,+5.38516480713450403125071049154032955629512016164478883768038867001664596282765869>
<+30.0,+5.47722557505166113456969782800802133952744694997983254226894449732493277122722733>
<+31.0,+5.56776436283002192211947129891854952047639337757041430396843258560358983925423629>
<+32.0,+5.65685424949238019520675489683879231427868750150779229270671895196292991384842815>
<+33.0,+5.74456264653802865985061146821892931822026445798279236769987747056590072145740462>
<+34.0,+5.83095189484530047087415287754558307652139833488597195445000674486781006199671262>
<+35.0,+5.91607978309961604256732829156161704841550123079434032287971966914282245910565303>
<+36.0,+6.0>
<+37.0,+6.08276253029821968899968424520206706208497009478641118641915304648633272531891023>
<+38.0,+6.16441400296897645025019238145424422523562402344457454487457207245839965026366421>
<+39.0,+6.24499799839839820584689312093979446107295997799165630845297193060961120058351450>
<+40.0,+6.32455532033675866399778708886543706743911027865043365371500970558518887727847644>
<+41.0,+6.40312423743284868648821767462181326452042013262101888552927262666818275819687607>
<+42.0,+6.48074069840786023096596743608799665770520430705834654971135439780961737784404437>
<+43.0,+6.55743852430200065234410999763600162792696631988378976986546010558565985348857563>
<+44.0,+6.63324958071079969822986547334137336785417709117870719411736429223296928521808769>
<+45.0,+6.70820393249936908922752100619382870632185507883457717281269173623156277691341469>
<+46.0,+6.78232998312526813906455632662596910519574832392328823275021958208072826398711258>
<+47.0,+6.85565460040104412493587144908484896046064346100132627548510818567851711513681699>
<+48.0,+6.92820323027550917410978536602348946777122101524152251222322791780773206763520014>
<+49.0,+7.0>
<+50.0,+7.07106781186547524400844362104849039284835937688474036588339868995366239231053519>
<+51.0,+7.14142842854284999799939981136726527876617115990273383320843088276582040644002188>
<+52.0,+7.21110255092797858623844253494099189250259314769049242542090611245433389658602089>
<+53.0,+7.28010988928051827109730249152703279377766968257647743837818179128411573862490518>
<+54.0,+7.34846922834953429459185222411767417589784244197001038529807770175288113237194507>
<+55.0,+7.41619848709566294871139744080071306097990431909750159873262326434383018431385024>
<+56.0,+7.48331477354788277116749746463309860351203961555745389260749093464007031261387805>
<+57.0,+7.54983443527074969723668480694611705822219470462338013829862690571072195391781119>
<+58.0,+7.61577310586390828566141102715832300536070559254659846895048424052035215737300124>
<+59.0,+7.68114574786860817576968702173137247306245107761488392802473648393554165799270985>
<+60.0,+7.74596669241483377035853079956479922166584341058318165317514753222696618387395806>
<+61.0,+7.81024967590665439412972273575910141356830513664856330017724376019078558893672705>
<+62.0,+7.87400787401181101968503444881200786368108612202085379459884255031376084681769805>
<+63.0,+7.93725393319377177150484726091778127713077754924735054110500337760320646969085088>
<+64.0,+8.0>
<+65.0,+8.06225774829854965236661323030377113113439630560857338793659238926387495102568820>
<+66.0,+8.12403840463596036045988356826604034850420408672531282765157559453291680284067269>
<+67.0,+8.18535277187244996995370372473392945888048681549803996306671520272366761446109794>
<+68.0,+8.24621125123532109964281971194815405029439845074724086879726714618990869267524318>
<+69.0,+8.30662386291807485258426274490749201023221424895565577943218836903758503342315157>
<+70.0,+8.36660026534075547978172025785187489392815369298672199811191543080418772594317009>
<+71.0,+8.42614977317635863063413990620273603160800240156075001366781112932722550275520305>
<+72.0,+8.48528137423857029281013234525818847141803125226168843906007842794439487077264223>
<+73.0,+8.54400374531753116787164832623970643459445532953328224190865125377164881932729838>
<+74.0,+8.60232526704262677172947353504971363202753555729073561950804564123742693466301701>
<+75.0,+8.66025403784438646763723170752936183471402626905190314027903489725966508454400018>
<+76.0,+8.71779788708134710447396396771923131827400785046488987378068827631911465640631617>
<+77.0,+8.77496438739212206040638830741630956087587682755450359092769562978276464621930628>
<+78.0,+8.83176086632784685476404272695925396417463948093141782621020297255713993823544284>
<+79.0,+8.88819441731558885009144167540872781707645060372952629835472011637610059962859959>
<+80.0,+8.94427190999915878563669467492510494176247343844610289708358898164208370255121959>
<+81.0,+9.0>
<+82.0,+9.05538513813741662657380816698406641305212446409694027658174123001865798076605923>
<+83.0,+9.11043357914429888194562610468866919009913916826495585249693846506602119428340566>
<+84.0,+9.16515138991168001317609438745601697796891315353594380521448424781373685109554177>
<+85.0,+9.21954445729288731000227428176279315724680504872246400800775220544267102680187546>
<+86.0,+9.27361849549570375251641607399017462626346891207629821337382659832823683646384302>
<+87.0,+9.32737905308881504555447554232055698327624069419165467105619729844678454880724967>
<+88.0,+9.38083151964685910913126022708893256117645670682347430721140378203404926550647944>
<+89.0,+9.43398113205660381132066037762264071698362263341512132066298144898002290958511805>
<+90.0,+9.48683298050513799599668063329815560115866541797565048057251455837778331591771466>
<+91.0,+9.53939201416945649152621586023226540254623425250545753908151852910362552305650721>
<+92.0,+9.59166304662543908319487612832538783999341408380825869297061822889651447181492816>
<+93.0,+9.64365076099295499576003104743266318390690369306325240730017688773128641866864972>
<+94.0,+9.69535971483265802814888115084531339365215098795467959053971748623303986757330072>
<+95.0,+9.74679434480896390683841319989960029925258390033749103199175000572008177246024935>
<+96.0,+9.79795897113271239278913629882356556786378992262668051373077026900384150982926010>
<+97.0,+9.84885780179610472174621141491762448169613628744276417172315452983644058370767863>
<+98.0,+9.89949493661166534161182106946788654998770312763863651223675816593512734923474927>
<+99.0,+9.94987437106619954734479821001206005178126563676806079117604643834945392782713154>
<+100.0,+10.0>
<+101.0,+10.04987562112089027021926491275957618694502347002637729057282829732849123155197038>
<+102.0,+10.09950493836207795336338591706960071060389896447961294185302476232528481423672605>
<+103.0,+10.14889156509221946864852011893587438358192250188840665225365092061140382270051750>
<+104.0,+10.19803902718556966005644821804556397912754189219919281516994160885186726412444839>
<+105.0,+10.24695076595959838322103868052105199073503266345483292954197849989034798570535407>
<+106.0,+10.29563014098700031579736946419754997869880142349195692224460604139806212799778877>
<+107.0,+10.34408043278860046973859944262699736830202237497168794567711535760059003741937087>
<+108.0,+10.39230484541326376116467804903523420165683152286228376833484187671159810145280022>
<+109.0,+10.44030650891055017975775402254804767828984983771979975300539724900470391462813491>
<+110.0,+10.48808848170151546991453513679937598475271857681503984875755763580005925501100691>
<+111.0,+10.53565375285273884840140466189966747674770065972434833044012912782603424588348975>
<+112.0,+10.58300524425836236200646301455704170284103673232980072147333783680427529292113451>
<+113.0,+10.63014581273464940799912191492931422196726425858259648079687455390740256824253911>
<+114.0,+10.67707825203131121081152396559571062628228776946058011397810604284900898365140801>
<+115.0,+10.72380529476360830481415967215428470509021185555028755644990232815665531270700103>
<+116.0,+10.77032961426900806250142098308065911259024032328957767536077734003329192565531738>
<+117.0,+10.81665382639196787935766380241148783875388972153573863813135916868150084487903133>
<+118.0,+10.86278049120021572389149337473741120122666198342475152626493056941081985979486939>
<+119.0,+10.90871211463571441150215448737290187280513370269462375301674489483832877509716449>
<+120.0,+10.95445115010332226913939565601604267905489389995966508453788899464986554245445467>
<+121.0,+11.0>
<+122.0,+11.04536101718726077421091384334431706085227962033450132719710259456273021552450281>
<+123.0,+11.09053650640941716205160010260993291846337674245402002287731283908500163310128960>
<+124.0,+11.13552872566004384423894259783709904095278675514082860793686517120717967850847258>
<+125.0,+11.18033988749894848204586834365638117720309179805762862135448622705260462818902449>
<+126.0,+11.22497216032182415675124619694964790526805942333618083891123640196010546892081708>
<+127.0,+11.26942766958464488285000369174281735474531160374752886870190667420842916074070459>
<+128.0,+11.31370849898476039041350979367758462855737500301558458541343790392585982769685631>
<+129.0,+11.35781669160054722178467596798471288228272370879522562126063026378741502695473186>
<+130.0,+11.40175425099137979136049025566754479076005310916410375297469417249561223623035362>
<+131.0,+11.44552314225959703904343428819218413204911180701030508819019841303323533055360639>
<+132.0,+11.48912529307605731970122293643785863644052891596558473539975494113180144291480925>
<+133.0,+11.53256259467079588935418323881787250058306885124138683332787807613527144147488257>
<+134.0,+11.57583690279022547355581011195485378710010355251006851318852479206270790013033810>
<+135.0,+11.61895003862225065553779619934719883249876511587477247976272129834044927581093710>
<+136.0,+11.66190378969060094174830575509116615304279666977194390890001348973562012399342525>
<+137.0,+11.70469991071962510910209827422862108882331051828184761466008267969074722718801958>
<+138.0,+11.74734012447073058696850636596466547769258411181206373700686209463969920207007643>
